"Sample"	"MLST ST"	"MLST Formula short"	"Ogroup"	"Hgroup"	"stx"	"eae"	"amr genecount"	"amr genecount aquired"	"amr genecount points"	"amr genes"	"amr count classes"	"amr classes"	"amr count subclasses"	"amr subclasses"	"metal genecount"	"metal classes"	"biocide genecount"	"biocide classes"	"acid genecount"	"heat genecount"	"mobile amr genecount"	"mobile amr genes"	"plasmids contigs"	"plasmids cumulativelength"	"plasmids circular"	"count plasmidmarkers"	"plasmidmarkers"	"count vf"	"virulence factors"
"Ec_0-05_10_Ec1"	"1792"	"6;4;12;16;9;192;12"	"O111"	"H8"	"stx1A;stx1B;stx2A;stx2B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	10	62933	0	0	"None found"	107	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espB;espD;espF;espG;espK;espL1;espM1;espM2;espN;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;hlyA;hlyB;hlyC;hlyD;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleC;nleE;nleG7';nleH1;nleH2;ompA;ospG;paa;sepD;sepL;sepQ/escQ;stx1A;stx1B;stx2A;stx2B"
"Ec_0-05_10_Ec2"	"678"	"6;6;5;136;9;7;7"	"O104"	"H4"	"stx2A;stx2B"	"eaeH"	10	9	1	"acrF;aph(3'')-Ib;aph(6)-Id;blaEC;dfrA7;gyrA_S83A;mdtM;sul1;sul2;tet(A)"	7	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	7	"BETA-LACTAM;EFFLUX;QUINOLONE;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	22	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	1	0	0	"None found"	25	142899	0	4	"Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107;IncI1_1_Alpha"	66	"aap/aspU;aggA;aggB;aggC;aggD;csgB;csgD;csgF;csgG;entA;entB;entC;entD;entE;entF;entS;espL1;espR1;espX1;espX4;espX5;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;irp1;irp2;iucA;iucB;iucC;iucD;iutA;ompA;pic;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-05_10_Ec3"	"678"	"6;6;5;136;9;7;7"	"O104"	"H4"	"stx2A;stx2B"	"eaeH"	12	11	1	"acrF;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaEC;blaTEM;dfrA7;gyrA_S83A;mdtM;sul1;sul2;tet(A)"	7	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	8	"BETA-LACTAM;CEPHALOSPORIN;EFFLUX;QUINOLONE;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	22	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	1	0	0	"None found"	27	154802	0	4	"Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107;IncI1_1_Alpha"	65	"aap/aspU;aggA;aggB;aggC;aggD;csgB;csgD;csgF;csgG;entA;entB;entC;entD;entE;entF;entS;espL1;espR1;espX1;espX4;espX5;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;irp1;irp2;iucA;iucB;iucC;iucD;iutA;ompA;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-05_10_Ec4"	"678"	"6;6;5;136;9;7;7"	"O104"	"H4"	"stx2A;stx2B"	"eaeH"	11	10	1	"acrF;aph(3'')-Ib;aph(6)-Id;blaEC;blaTEM-1;dfrA7;gyrA_S83A;mdtM;sul1;sul2;tet(A)"	7	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	7	"BETA-LACTAM;EFFLUX;QUINOLONE;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	22	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	1	0	0	"None found"	16	182860	0	3	"Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107"	65	"aap/aspU;aggA;aggB;aggC;aggD;csgB;csgD;csgF;csgG;entA;entB;entC;entD;entE;entF;entS;espL1;espR1;espX1;espX4;espX5;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;irp1;irp2;iucA;iucB;iucC;iucD;iutA;ompA;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-05_10_Ec5"	"21"	"16;4;12;16;9;7;7"	"O26"	"H11"	"stx1A;stx1B;stx2A;stx2B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	0	""	1	0	0	"None found"	12	72894	0	2	"IncB/O/K/Z_3;IncFIB(AP001918)_1"	117	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;hlyA;hlyB;hlyC;hlyD;irp1;irp2;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stx2A;stx2B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-05_10_Ec6"	"21"	"16;4;12;16;9;7;7"	"O26"	"H11"	"stx1A;stx1B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	0	""	1	0	0	"None found"	8	39532	0	2	"IncB/O/K/Z_3;IncFIB(AP001918)_1"	113	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;hlyB;hlyD;irp1;irp2;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-05_10_Ec7"	"11"	"12;12;8;12;15;2;2"	"O157"	"H7"	"stx2A;stx2B;stx2dB"	"eae;eaeH"	4	4	0	"acrF;blaEC;emrD;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	0	0	0	"None found"	6	88512	0	1	"IncFIB(AP001918)_1"	119	"aslA;astA;cesAB;cesD;cesD2;cesF;cesL;cesT;chuV;chuW;csgB;csgD;csgF;csgG;eae;east1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espB;espD;espG;espH;espJ;espK;espL1;espL2;espL4;espM1;espM2;espN;espP;espR1;espR3;espR4;espW;espX1;espX2;espX4;espX5;espX6;espX7/nleL;espY1;espY2;espY3;espY4;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;hlyA;hlyB;hlyC;map;nleA/espI;nleB1;nleB2;nleC;nleD;nleE;nleF;nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;sepZ/espZ;shuA;shuS;shuT;shuX;shuY;stcE;stx2A;stx2B;tir;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ykgK/ecpR"
"Ec_0-05_10_Ec8"	"21"	"16;4;12;16;9;7;7"	"O26"	"H11"	"stx1A;stx1B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	0	""	1	0	0	"None found"	8	51312	0	2	"IncB/O/K/Z_3;IncFIB(AP001918)_1"	115	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;hlyA;hlyB;hlyC;hlyD;irp1;irp2;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-05_20_Ec1"	"1792"	"6;4;12;16;9;192;12"	"O111"	"H8"	"stx1A;stx1B;stx2A;stx2B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	11	64566	0	0	"None found"	107	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espB;espD;espF;espG;espK;espL1;espM1;espM2;espN;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;hlyA;hlyB;hlyC;hlyD;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleC;nleE;nleG7';nleH1;nleH2;ompA;ospG;paa;sepD;sepL;sepQ/escQ;stx1A;stx1B;stx2A;stx2B"
"Ec_0-05_20_Ec2"	"678"	"6;6;5;136;9;7;7"	"O104"	"H4"	"stx2A;stx2B"	"eaeH"	10	9	1	"acrF;aph(3'')-Ib;aph(6)-Id;blaEC;dfrA7;gyrA_S83A;mdtM;sul1;sul2;tet(A)"	7	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	7	"BETA-LACTAM;EFFLUX;QUINOLONE;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	22	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	1	0	0	"None found"	24	147666	0	4	"Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107;IncI1_1_Alpha"	66	"aap/aspU;aggA;aggB;aggC;aggD;csgB;csgD;csgF;csgG;entA;entB;entC;entD;entE;entF;entS;espL1;espR1;espX1;espX4;espX5;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;irp1;irp2;iucA;iucB;iucC;iucD;iutA;ompA;pic;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
