sample	species	strain	contam_type	distance	mixing_ratio
Ec_0-05_10_Ec1	Ec	Ec1	intra_species	0-05	10
Ec_0-05_10_Ec2	Ec	Ec2	intra_species	0-05	10
Ec_0-05_10_Ec3	Ec	Ec3	intra_species	0-05	10
Ec_0-05_10_Ec4	Ec	Ec4	intra_species	0-05	10
Ec_0-05_10_Ec5	Ec	Ec5	intra_species	0-05	10
Ec_0-05_10_Ec6	Ec	Ec6	intra_species	0-05	10
Ec_0-05_10_Ec7	Ec	Ec7	intra_species	0-05	10
Ec_0-05_10_Ec8	Ec	Ec8	intra_species	0-05	10
Ec_0-05_20_Ec1	Ec	Ec1	intra_species	0-05	20
Ec_0-05_20_Ec2	Ec	Ec2	intra_species	0-05	20
Ec_0-05_20_Ec3	Ec	Ec3	intra_species	0-05	20
Ec_0-05_20_Ec4	Ec	Ec4	intra_species	0-05	20
Ec_0-05_20_Ec5	Ec	Ec5	intra_species	0-05	20
Ec_0-05_20_Ec6	Ec	Ec6	intra_species	0-05	20
Ec_0-05_20_Ec7	Ec	Ec7	intra_species	0-05	20
Ec_0-05_20_Ec8	Ec	Ec8	intra_species	0-05	20
Ec_0-05_30_Ec1	Ec	Ec1	intra_species	0-05	30
Ec_0-05_30_Ec2	Ec	Ec2	intra_species	0-05	30
Ec_0-05_30_Ec3	Ec	Ec3	intra_species	0-05	30
Ec_0-05_30_Ec4	Ec	Ec4	intra_species	0-05	30
Ec_0-05_30_Ec5	Ec	Ec5	intra_species	0-05	30
Ec_0-05_30_Ec6	Ec	Ec6	intra_species	0-05	30
Ec_0-05_30_Ec7	Ec	Ec7	intra_species	0-05	30
Ec_0-05_30_Ec8	Ec	Ec8	intra_species	0-05	30
Ec_0-05_40_Ec1	Ec	Ec1	intra_species	0-05	40
Ec_0-05_40_Ec2	Ec	Ec2	intra_species	0-05	40
Ec_0-05_40_Ec3	Ec	Ec3	intra_species	0-05	40
Ec_0-05_40_Ec4	Ec	Ec4	intra_species	0-05	40
Ec_0-05_40_Ec5	Ec	Ec5	intra_species	0-05	40
Ec_0-05_40_Ec6	Ec	Ec6	intra_species	0-05	40
Ec_0-05_40_Ec7	Ec	Ec7	intra_species	0-05	40
Ec_0-05_40_Ec8	Ec	Ec8	intra_species	0-05	40
Ec_0-05_50_Ec1	Ec	Ec1	intra_species	0-05	50
Ec_0-05_50_Ec2	Ec	Ec2	intra_species	0-05	50
Ec_0-05_50_Ec3	Ec	Ec3	intra_species	0-05	50
Ec_0-05_50_Ec4	Ec	Ec4	intra_species	0-05	50
Ec_0-05_50_Ec5	Ec	Ec5	intra_species	0-05	50
Ec_0-05_50_Ec6	Ec	Ec6	intra_species	0-05	50
Ec_0-05_50_Ec7	Ec	Ec7	intra_species	0-05	50
Ec_0-05_50_Ec8	Ec	Ec8	intra_species	0-05	50
Ec_0-5_10_Ec1	Ec	Ec1	intra_species	0-5	10
Ec_0-5_10_Ec2	Ec	Ec2	intra_species	0-5	10
Ec_0-5_10_Ec3	Ec	Ec3	intra_species	0-5	10
Ec_0-5_10_Ec4	Ec	Ec4	intra_species	0-5	10
Ec_0-5_10_Ec5	Ec	Ec5	intra_species	0-5	10
Ec_0-5_10_Ec6	Ec	Ec6	intra_species	0-5	10
Ec_0-5_10_Ec7	Ec	Ec7	intra_species	0-5	10
Ec_0-5_10_Ec8	Ec	Ec8	intra_species	0-5	10
Ec_0-5_20_Ec1	Ec	Ec1	intra_species	0-5	20
Ec_0-5_20_Ec2	Ec	Ec2	intra_species	0-5	20
Ec_0-5_20_Ec3	Ec	Ec3	intra_species	0-5	20
Ec_0-5_20_Ec4	Ec	Ec4	intra_species	0-5	20
Ec_0-5_20_Ec5	Ec	Ec5	intra_species	0-5	20
Ec_0-5_20_Ec6	Ec	Ec6	intra_species	0-5	20
Ec_0-5_20_Ec7	Ec	Ec7	intra_species	0-5	20
Ec_0-5_20_Ec8	Ec	Ec8	intra_species	0-5	20
Ec_0-5_30_Ec1	Ec	Ec1	intra_species	0-5	30
Ec_0-5_30_Ec2	Ec	Ec2	intra_species	0-5	30
Ec_0-5_30_Ec3	Ec	Ec3	intra_species	0-5	30
Ec_0-5_30_Ec4	Ec	Ec4	intra_species	0-5	30
Ec_0-5_30_Ec5	Ec	Ec5	intra_species	0-5	30
Ec_0-5_30_Ec6	Ec	Ec6	intra_species	0-5	30
Ec_0-5_30_Ec7	Ec	Ec7	intra_species	0-5	30
Ec_0-5_30_Ec8	Ec	Ec8	intra_species	0-5	30
Ec_0-5_40_Ec1	Ec	Ec1	intra_species	0-5	40
Ec_0-5_40_Ec2	Ec	Ec2	intra_species	0-5	40
Ec_0-5_40_Ec3	Ec	Ec3	intra_species	0-5	40
Ec_0-5_40_Ec4	Ec	Ec4	intra_species	0-5	40
Ec_0-5_40_Ec5	Ec	Ec5	intra_species	0-5	40
Ec_0-5_40_Ec6	Ec	Ec6	intra_species	0-5	40
Ec_0-5_40_Ec7	Ec	Ec7	intra_species	0-5	40
Ec_0-5_40_Ec8	Ec	Ec8	intra_species	0-5	40
Ec_0-5_50_Ec1	Ec	Ec1	intra_species	0-5	50
Ec_0-5_50_Ec2	Ec	Ec2	intra_species	0-5	50
Ec_0-5_50_Ec3	Ec	Ec3	intra_species	0-5	50
Ec_0-5_50_Ec4	Ec	Ec4	intra_species	0-5	50
Ec_0-5_50_Ec5	Ec	Ec5	intra_species	0-5	50
Ec_0-5_50_Ec6	Ec	Ec6	intra_species	0-5	50
Ec_0-5_50_Ec7	Ec	Ec7	intra_species	0-5	50
Ec_0-5_50_Ec8	Ec	Ec8	intra_species	0-5	50
Ec_5_10_Ec1	Ec	Ec1	intra_species	5	10
Ec_5_10_Ec2	Ec	Ec2	intra_species	5	10
Ec_5_10_Ec3	Ec	Ec3	intra_species	5	10
Ec_5_10_Ec4	Ec	Ec4	intra_species	5	10
Ec_5_10_Ec5	Ec	Ec5	intra_species	5	10
Ec_5_10_Ec6	Ec	Ec6	intra_species	5	10
Ec_5_10_Ec7	Ec	Ec7	intra_species	5	10
Ec_5_10_Ec8	Ec	Ec8	intra_species	5	10
Ec_5_20_Ec1	Ec	Ec1	intra_species	5	20
Ec_5_20_Ec2	Ec	Ec2	intra_species	5	20
Ec_5_20_Ec3	Ec	Ec3	intra_species	5	20
Ec_5_20_Ec4	Ec	Ec4	intra_species	5	20
Ec_5_20_Ec5	Ec	Ec5	intra_species	5	20
Ec_5_20_Ec6	Ec	Ec6	intra_species	5	20
Ec_5_20_Ec7	Ec	Ec7	intra_species	5	20
Ec_5_20_Ec8	Ec	Ec8	intra_species	5	20
Ec_5_30_Ec1	Ec	Ec1	intra_species	5	30
Ec_5_30_Ec2	Ec	Ec2	intra_species	5	30
Ec_5_30_Ec3	Ec	Ec3	intra_species	5	30
Ec_5_30_Ec4	Ec	Ec4	intra_species	5	30
Ec_5_30_Ec5	Ec	Ec5	intra_species	5	30
Ec_5_30_Ec6	Ec	Ec6	intra_species	5	30
Ec_5_30_Ec7	Ec	Ec7	intra_species	5	30
Ec_5_30_Ec8	Ec	Ec8	intra_species	5	30
Ec_5_40_Ec1	Ec	Ec1	intra_species	5	40
Ec_5_40_Ec2	Ec	Ec2	intra_species	5	40
Ec_5_40_Ec3	Ec	Ec3	intra_species	5	40
Ec_5_40_Ec4	Ec	Ec4	intra_species	5	40
Ec_5_40_Ec5	Ec	Ec5	intra_species	5	40
Ec_5_40_Ec6	Ec	Ec6	intra_species	5	40
Ec_5_40_Ec7	Ec	Ec7	intra_species	5	40
Ec_5_40_Ec8	Ec	Ec8	intra_species	5	40
Ec_5_50_Ec1	Ec	Ec1	intra_species	5	50
Ec_5_50_Ec2	Ec	Ec2	intra_species	5	50
Ec_5_50_Ec3	Ec	Ec3	intra_species	5	50
Ec_5_50_Ec4	Ec	Ec4	intra_species	5	50
Ec_5_50_Ec5	Ec	Ec5	intra_species	5	50
Ec_5_50_Ec6	Ec	Ec6	intra_species	5	50
Ec_5_50_Ec7	Ec	Ec7	intra_species	5	50
Ec_5_50_Ec8	Ec	Ec8	intra_species	5	50
Ec_Lm_10_Ec1	Ec	Ec1	inter_species	Lm	10
Ec_Lm_10_Ec2	Ec	Ec2	inter_species	Lm	10
Ec_Lm_10_Ec3	Ec	Ec3	inter_species	Lm	10
Ec_Lm_10_Ec4	Ec	Ec4	inter_species	Lm	10
Ec_Lm_10_Ec5	Ec	Ec5	inter_species	Lm	10
Ec_Lm_10_Ec6	Ec	Ec6	inter_species	Lm	10
Ec_Lm_10_Ec7	Ec	Ec7	inter_species	Lm	10
Ec_Lm_10_Ec8	Ec	Ec8	inter_species	Lm	10
Ec_Lm_20_Ec1	Ec	Ec1	inter_species	Lm	20
Ec_Lm_20_Ec2	Ec	Ec2	inter_species	Lm	20
Ec_Lm_20_Ec3	Ec	Ec3	inter_species	Lm	20
Ec_Lm_20_Ec4	Ec	Ec4	inter_species	Lm	20
Ec_Lm_20_Ec5	Ec	Ec5	inter_species	Lm	20
Ec_Lm_20_Ec6	Ec	Ec6	inter_species	Lm	20
Ec_Lm_20_Ec7	Ec	Ec7	inter_species	Lm	20
Ec_Lm_20_Ec8	Ec	Ec8	inter_species	Lm	20
Ec_Lm_30_Ec1	Ec	Ec1	inter_species	Lm	30
Ec_Lm_30_Ec2	Ec	Ec2	inter_species	Lm	30
Ec_Lm_30_Ec3	Ec	Ec3	inter_species	Lm	30
Ec_Lm_30_Ec4	Ec	Ec4	inter_species	Lm	30
Ec_Lm_30_Ec5	Ec	Ec5	inter_species	Lm	30
Ec_Lm_30_Ec6	Ec	Ec6	inter_species	Lm	30
Ec_Lm_30_Ec7	Ec	Ec7	inter_species	Lm	30
Ec_Lm_30_Ec8	Ec	Ec8	inter_species	Lm	30
Ec_Lm_40_Ec1	Ec	Ec1	inter_species	Lm	40
Ec_Lm_40_Ec2	Ec	Ec2	inter_species	Lm	40
Ec_Lm_40_Ec3	Ec	Ec3	inter_species	Lm	40
Ec_Lm_40_Ec4	Ec	Ec4	inter_species	Lm	40
Ec_Lm_40_Ec5	Ec	Ec5	inter_species	Lm	40
Ec_Lm_40_Ec6	Ec	Ec6	inter_species	Lm	40
Ec_Lm_40_Ec7	Ec	Ec7	inter_species	Lm	40
Ec_Lm_40_Ec8	Ec	Ec8	inter_species	Lm	40
Ec_Lm_50_Ec1	Ec	Ec1	inter_species	Lm	50
Ec_Lm_50_Ec2	Ec	Ec2	inter_species	Lm	50
Ec_Lm_50_Ec3	Ec	Ec3	inter_species	Lm	50
Ec_Lm_50_Ec4	Ec	Ec4	inter_species	Lm	50
Ec_Lm_50_Ec5	Ec	Ec5	inter_species	Lm	50
Ec_Lm_50_Ec6	Ec	Ec6	inter_species	Lm	50
Ec_Lm_50_Ec7	Ec	Ec7	inter_species	Lm	50
Ec_Lm_50_Ec8	Ec	Ec8	inter_species	Lm	50
Ec_Se_10_Ec1	Ec	Ec1	inter_species	Se	10
Ec_Se_10_Ec2	Ec	Ec2	inter_species	Se	10
Ec_Se_10_Ec3	Ec	Ec3	inter_species	Se	10
Ec_Se_10_Ec4	Ec	Ec4	inter_species	Se	10
Ec_Se_10_Ec5	Ec	Ec5	inter_species	Se	10
Ec_Se_10_Ec6	Ec	Ec6	inter_species	Se	10
Ec_Se_10_Ec7	Ec	Ec7	inter_species	Se	10
Ec_Se_10_Ec8	Ec	Ec8	inter_species	Se	10
Ec_Se_20_Ec1	Ec	Ec1	inter_species	Se	20
Ec_Se_20_Ec2	Ec	Ec2	inter_species	Se	20
Ec_Se_20_Ec3	Ec	Ec3	inter_species	Se	20
Ec_Se_20_Ec4	Ec	Ec4	inter_species	Se	20
Ec_Se_20_Ec5	Ec	Ec5	inter_species	Se	20
Ec_Se_20_Ec6	Ec	Ec6	inter_species	Se	20
Ec_Se_20_Ec7	Ec	Ec7	inter_species	Se	20
Ec_Se_20_Ec8	Ec	Ec8	inter_species	Se	20
Ec_Se_30_Ec1	Ec	Ec1	inter_species	Se	30
Ec_Se_30_Ec2	Ec	Ec2	inter_species	Se	30
Ec_Se_30_Ec3	Ec	Ec3	inter_species	Se	30
Ec_Se_30_Ec4	Ec	Ec4	inter_species	Se	30
