scaffolds,total_scaffold_length,average_scaffold_length,scaffold_n50,scaffold_aun,scaffold_l50,largest_scaffold,smallest_scaffold,contigs,total_contig_length,average_contig_length,contig_n50,contig_aun,contig_l50,largest_contig,smallest_contig,gaps_in_scaffolds,total_gap_length_in_scaffolds,average_gap_length_in_scaffolds,gap_n50_in_scaffolds,gap_aun_in_scaffolds,gap_l50_in_scaffolds,largest_gap_in_scaffolds,smallest_gap_in_scaffolds,base_composition_(a,gc_content_pct,soft-masked_bases,segments,total_segment_length,average_segment_length,gaps,paths,edges,average_degree,connected_components,largest_connected_component_length,dead_ends,disconnected_components,total_length_disconnected_components,separated_components,bubbles,circular_segments,circular_paths
107,5649869,52802.51,375230,371456.32,6,789847,113,273,5649869,20695.49,169953,250708.79,9,601992,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1211377:1620107:1607703:1210682,57.13,0,246,5645928,22950.93,0,107,327,1.33,1,5534076,6,1,111852,2,22,1,0
94,5719824,60849.19,349545,384583.66,6,842644,117,260,5719824,21999.32,188405,199318.77,11,442858,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1236726:1641476:1615702:1225920,56.95,0,225,5714952,25399.79,0,94,278,1.24,3,5625047,35,9,23525,12,18,1,0
198,5651212,28541.47,241106,258450.01,9,650935,112,403,5651212,14022.86,173852,196348.41,11,566680,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1204647:1599539:1632132:1214894,57.19,0,375,5647327,15059.54,0,198,496,1.32,1,5589631,12,3,57696,4,25,0,0
160,5796257,36226.61,214548,236246.82,9,538394,112,370,5796257,15665.56,131702,161388.9,13,380856,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1250787:1654516:1643085:1247869,56.89,0,334,5791270,17339.13,0,160,435,1.3,2,5703563,22,3,52413,5,16,0,0
187,5838655,31222.75,228958,218824.21,9,512958,112,441,5838655,13239.58,129863,170778.32,13,506405,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1250996:1653826:1677268:1256565,57.05,0,398,5832837,14655.37,0,187,515,1.29,1,5731142,31,6,101695,7,19,0,0
159,5620028,35346.09,188735,197260.78,10,373638,113,341,5620028,16481.02,129142,147296.17,15,373161,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1206532:1606369:1601599:1205528,57.08,0,316,5616652,17774.22,0,159,391,1.24,1,5502295,52,17,114357,18,14,0,0
210,5853482,27873.72,279606,257326.54,8,534552,115,466,5853482,12561.12,135011,162910.99,14,420187,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1268469:1651133:1667347:1266533,56.69,0,432,5849020,13539.4,0,210,574,1.33,1,5849020,8,0,0,1,46,0,0
263,5901693,22439.9,307046,295636.54,7,577242,115,635,5901693,9294.0,159530,188651.7,12,464192,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1282015:1689456:1658488:1271734,56.73,0,576,5893145,10231.15,0,263,757,1.31,1,5869510,21,5,23635,6,59,0,0
134,5541294,41352.94,199780,269671.26,8,750138,113,303,5541294,18288.1,139941,162808.44,13,421712,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1184324:1579919:1596040:1181011,57.31,0,281,5538271,19709.15,0,134,361,1.28,1,5484318,25,9,53953,10,11,0,0
1081,10513628,9725.84,21563,123141.79,53,625143,112,1234,10513628,8519.96,19945,62306.48,86,326217,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 2423769:2827425:2836263:2426171,53.87,0,1217,10510332,8636.26,0,1081,347,0.29,30,2347223,1913,875,5297018,905,5,4,2
122,5589330,45814.18,310731,340699.59,6,704104,112,267,5589330,20933.82,182500,233057.51,9,630292,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1200701:1588734:1595997:1203898,56.98,0,246,5586274,22708.43,0,122,311,1.26,1,5509659,30,9,76615,10,8,0,0
162,5878121,36284.7,205983,238613.63,9,668703,112,357,5878121,16465.32,131962,146351.34,15,438881,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1275805:1662293:1664713:1275310,56.6,0,330,5874122,17800.37,0,162,426,1.29,1,5798471,31,9,75651,10,23,0,0
87,5547533,63764.75,495579,505861.57,4,1056433,121,206,5547533,26929.77,224569,222442.84,9,464676,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1188805:1576023:1593529:1189176,57.13,0,189,5545162,29339.48,0,87,240,1.27,3,4999025,18,3,303134,6,19,0,0
180,5741051,31894.73,247228,280245.95,8,710734,112,336,5741051,17086.46,227493,202193.23,10,425381,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1240770:1652361:1607000:1240920,56.77,0,314,5738044,18274.03,0,180,389,1.24,2,5499272,53,15,116138,17,15,1,0
168,5632852,33528.88,195061,199701.45,10,394201,115,351,5632852,16048.01,142808,173991.18,12,393973,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1207165:1612376:1604691:1208620,57.11,0,325,5629005,17320.02,0,168,419,1.29,3,5559140,22,5,38053,8,18,0,0
138,5460150,39566.3,299654,279500.72,7,579286,114,293,5460150,18635.32,187202,197555.46,10,407325,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1165267:1563365:1566499:1165019,57.32,0,277,5457856,19703.45,0,138,366,1.32,1,5454451,8,1,3405,2,18,0,0
211,5658527,26817.66,440583,557499.17,4,1171190,117,457,5658527,12381.9,215049,205818.67,10,493985,112,0,0,0.0,0,0.0,0,0,0,C:G:T): 1211723:1590800:1632657:1223347,56.97,0,420,5653547,13460.83,0,211,553,1.32,2,5514738,16,2,11244,4,40,0,0
