sample	reference	assembly_coverageDepth	reads_total	reads_mapped	fraction_reads_mapped	coverage_rawDepth	base_count	count_circular_contigs	busco_single	busco_duplicates	genes_full	genes_partial	fraction_genes_recovered	run_name	version	timestamp	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	Complete BUSCO (%)	Partial BUSCO (%)	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Ec_0-05_10_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	19.293392436938273	447859	447429	0.9990398763896673	19.63440604125743	103463483	NA	98	0	5205	194	0.9610181559273763	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:29.669302	620	160	80	62	48	31	5269499	5109157	4924496	4810757	4611938	4022833	242	360003	5164356	5317846	50.44	50.63	105110	104404	63460	58723	14	15	29	31	0	0	0	1	0	0	1	1 + 8 part	58993	95.894	1.001	0	4.96	0.33	5205 + 194 part	97.97	0.68	360003	5105177	105110	104404	63460	58723	14	15	29	31
Ec_0-05_10_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	19.064476094293912	452959	452203	0.9983309747681357	19.505811285245656	104640134	NA	98.6	0	5174	143	0.981177338992434	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:30.992950	397	147	83	63	48	33	5364562	5267025	5108154	4971027	4733968	4173745	210	301286	5310060	5277316	50.57	50.72	107173	107173	61271	64947	14	14	30	29	4	4	250433	1	0	0	3	16 + 15 part	125764	97.993	1.002	0	8.12	1.57	5174 + 143 part	98.65	0	301286	5184151	107173	107173	61271	61271	14	14	30	30
Ec_0-05_10_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	19.107660640102765	456653	455944	0.9984473987907667	19.506067203816446	105492225	NA	98.6	0	5162	149	0.9800701236390478	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:48.656211	505	158	88	68	49	32	5408175	5277620	5116874	4982098	4674025	4024847	225	300887	5324276	5277316	50.58	50.72	102836	112004	51780	54079	15	14	32	31	2	2	1822	0	0	0	1	23 + 14 part	141705	97.976	1.002	0	3.75	2.13	5162 + 149 part	98.65	0	300887	5181866	102836	112004	51780	54079	15	14	32	31
Ec_0-05_10_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	19.21922636179512	452897	452631	0.999412669988982	19.464580608229273	104625566	NA	98.6	0	5158	135	0.979459659511473	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:48.573760	387	146	90	72	54	33	5375177	5285478	5157105	5032900	4733192	3993738	199	301016	5321894	5256950	50.51	50.75	100772	105958	51780	51780	16	15	33	33	5	4	263862	1	0	0	3	3 + 14 part	162338	97.837	1.003	0	12	0.84	5158 + 135 part	98.65	0	301016	5158818	100772	105958	47468	48530	16	15	34	33
Ec_0-05_10_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	19.628635449145854	492056	490389	0.9966121742240721	19.910251477033277	113679313	NA	98.6	0	5616	279	0.9489697359948487	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:51.287196	852	254	109	89	63	34	5709587	5506264	5191536	5055259	4695376	3657123	358	267744	5575913	5802748	50.4	50.68	91632	91431	37489	32724	21	22	46	51	4	2	11619	2	0	0	4	5 + 15 part	72403	94.507	1.004	0	12.87	0.55	5616 + 279 part	98.65	0	267744	5501543	91632	91431	37489	32724	21	22	46	51
Ec_0-05_10_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	19.541034944533596	475580	475082	0.9989528575633962	19.810326299987416	109872943	NA	98.6	0	5447	247	0.9513784461152882	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:58.454240	783	226	95	72	54	31	5546246	5358358	5083917	4926108	4644502	3831269	315	244460	5419504	5647195	50.4	50.67	114176	104253	41012	35626	17	18	37	41	3	3	16809	0	0	0	5	1 + 10 part	57440	94.657	1.003	0	13	0.82	5447 + 247 part	98.65	0	244460	5361299	114176	104253	41012	35626	17	18	37	41
Ec_0-05_10_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	19.528680746191025	466331	465874	0.9990200093924702	19.795795696470762	107731452	NA	98.6	0	5264	232	0.9475862068965517	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:52.849542	610	160	75	55	46	32	5442138	5284696	5086278	4937320	4783008	4267790	239	313944	5338785	5516497	50.27	50.53	124420	116371	72562	57243	14	15	28	30	2	2	17438	0	0	0	2	2 + 6 part	87460	95.076	1.001	0	6.96	0.34	5264 + 232 part	98.65	0	313944	5251232	124420	116371	72562	57243	14	15	28	30
Ec_0-05_10_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	19.431279063677977	476628	475934	0.9985439378299219	19.81873387903365	110113698	NA	98.6	0	5446	263	0.9538847117794487	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:11.254544	771	223	96	73	53	32	5556041	5367641	5101298	4931292	4615573	3868386	316	244192	5431572	5647195	50.39	50.67	114042	113412	41481	35626	18	19	37	41	6	6	150973	0	0	0	4	1 + 11 part	67612	94.745	1.003	0	14.43	3.01	5446 + 263 part	98.65	0	244192	5363443	113412	104254	41481	35626	18	19	38	42
Ec_0-05_20_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	19.06910821278162	447462	447117	0.9992289848076484	19.560493746332657	103373669	NA	98	0	5200	195	0.9603061587753648	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:30.370024	657	173	88	73	56	35	5284819	5112590	4921643	4823642	4578737	3826154	265	230805	5174327	5317846	50.43	50.63	92516	90489	44632	42066	18	19	37	39	1	1	4788	1	0	0	1	7 + 9 part	67419	95.783	1.003	0	10.01	0.55	5200 + 195 part	97.97	0.68	230805	5105347	92516	90489	44632	42066	18	19	37	39
Ec_0-05_20_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.725094408916714	452684	452224	0.9989838386158998	19.353825566153365	104578919	NA	98.6	0	5152	153	0.9789629082856616	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:51:11.261285	459	167	95	69	50	36	5403527	5287183	5129456	4947010	4663600	4140636	240	301286	5339962	5277316	50.58	50.72	100772	102366	56227	64947	18	17	34	33	6	5	61328	2	0	0	3	30 + 17 part	153109	97.968	1.003	0	14.26	2.11	5152 + 153 part	98.65	0	301286	5184358	100772	102366	56227	64947	18	17	34	33
