strain	depth_x	Number.of.scaffolds	Total.scaffold.length	Average.scaffold.length	Scaffold.N50	Scaffold.auN	Scaffold.L50	Largest.scaffold	Smallest.scaffold	Number.of.contigs	Total.contig.length	Average.contig.length	Contig.N50	Contig.auN	Contig.L50	Largest.contig	Smallest.contig	Number.of.gaps.in.scaffolds	Total.gap.length.in.scaffolds	Average.gap.length.in.scaffolds	Gap.N50.in.scaffolds	Gap.auN.in.scaffolds	Gap.L50.in.scaffolds	Largest.gap.in.scaffolds	Smallest.gap.in.scaffolds	Base.composition..A.C.G.T.	GC.content..	Number.of.soft.masked.bases	Number.of.segments	Total.segment.length	Average.segment.length	Number.of.gaps	Number.of.paths	Number.of.edges	Average.degree	Number.of.connected.components	Largest.connected.component.length	Number.of.dead.ends	Number.of.disconnected.components	Total.length.disconnected.components	Number.of.separated.components	Number.of.bubbles	Number.of.circular.segments	Number.of.circular.paths	depth	depth_category
24-SA01367-0	100x	5	5055710	1011142	4918300	4786510.41	1	4918300	3398	5	5055710	1011142	4918300	4786510.41	1	4918300	3398	0	0	0	0	0	0	0	0	1208337:1322248:1317603:1207522	52.22	0	5	5055710	1011142	0	5	5	1	3	4918300	4	2	23265	5	0	3	3	100	>30
24-SA01367-0	10x	6	5038089	839681.5	4350456	3822871.76	1	4350456	787	6	5038089	839681.5	4350456	3822871.76	1	4350456	787	0	0	0	0	0	0	0	0	1200784:1302758:1326609:1207938	52.19	0	6	5038089	839681.5	0	6	6	1	2	93847	4	2	4919916	4	4	2	2	10	10
24-SA01367-0	20x	7	5042579	720368.43	4918305	4798927.41	1	4918305	1061	7	5042579	720368.43	4918305	4798927.41	1	4918305	1061	0	0	0	0	0	0	0	0	1205952:1317981:1313178:1205468	52.18	0	7	5042579	720368.43	0	7	10	1.43	3	4918305	0	0	0	3	2	2	2	20	20
24-SA01367-0	30x	5	5056348	1011269.6	4918308	4785945.35	1	4918308	3398	5	5056348	1011269.6	4918308	4785945.35	1	4918308	3398	0	0	0	0	0	0	0	0	1207189:1319551:1320682:1208926	52.22	0	5	5056348	1011269.6	0	5	5	1	3	4918308	4	2	23265	5	0	3	3	30	30
24-SA01367-0	40x	5	5056016	1011203.2	4918301	4786245.67	1	4918301	3061	5	5056016	1011203.2	4918301	4786245.67	1	4918301	3061	0	0	0	0	0	0	0	0	1208819:1320594:1319503:1207100	52.22	0	5	5056016	1011203.2	0	5	5	1	3	4918301	4	2	22934	5	0	3	3	40	>30
24-SA01367-0	50x	4	5081729	1270432.25	4918301	4762425.99	1	4918301	19867	10	5081729	508172.9	4918301	4762100.21	1	4918301	1061	0	0	0	0	0	0	0	0	1213411:1330035:1324955:1213328	52.25	0	6	5056342	842723.67	0	4	9	1.5	3	4918301	0	0	0	3	6	2	2	50	>30
24-SA01367-0	60x	7	5038474	719782	4918196	4802537.42	1	4918196	1054	7	5038474	719782	4918196	4802537.42	1	4918196	1054	0	0	0	0	0	0	0	0	1204576:1312143:1317084:1204671	52.18	0	7	5038474	719782	0	7	10	1.43	3	4918196	0	0	0	3	4	2	2	60	>30
24-SA01367-0	70x	8	5056902	632112.75	4918194	4785043.78	1	4918194	669	8	5056902	632112.75	4918194	4785043.78	1	4918194	669	0	0	0	0	0	0	0	0	1207726:1319489:1320615:1209072	52.21	0	8	5056902	632112.75	0	8	10	1.25	3	4918194	4	2	4819	5	6	2	2	70	>30
24-SA01367-0	80x	4	5037608	1259402	4918380	4803813.02	1	4918380	4458	4	5037608	1259402	4918380	4803813.02	1	4918380	4458	0	0	0	0	0	0	0	0	1204331:1311915:1316730:1204632	52.18	0	4	5037608	1259402	0	4	7	1.75	3	4918380	0	0	0	3	0	4	4	80	>30
24-SA01367-0	90x	5	5055892	1011178.4	4918354	4786465.84	1	4918354	2897	5	5055892	1011178.4	4918354	4786465.84	1	4918354	2897	0	0	0	0	0	0	0	0	1207364:1319203:1320333:1208992	52.21	0	5	5055892	1011178.4	0	5	5	1	3	4918354	4	2	22764	5	0	3	3	90	>30
24-SA01372-0	100x	5	4663972	932794.4	4627794	4591985.1	1	4627794	4626	5	4663972	932794.4	4627794	4591985.1	1	4627794	4626	0	0	0	0	0	0	0	0	1113004:1216086:1216978:1117904	52.17	0	5	4663972	932794.4	0	5	6	1.2	5	4627794	0	0	0	5	0	5	5	100	>30
24-SA01372-0	10x	16	4623136	288946	659132	795043.93	3	1304031	706	16	4623136	288946	659132	795043.93	3	1304031	706	0	0	0	0	0	0	0	0	1109854:1231665:1179701:1101916	52.16	0	16	4623136	288946	0	16	15	0.94	3	3817477	14	5	796185	8	0	3	3	10	10
24-SA01372-0	150x	5	4648356	929671.2	4627795	4607353.46	1	4627795	2819	5	4648356	929671.2	4627795	4607353.46	1	4627795	2819	0	0	0	0	0	0	0	0	1109345:1211347:1213264:1114400	52.16	0	5	4648356	929671.2	0	5	5	1	4	4627795	2	1	4113	5	0	4	4	150	>30
